CDG;BON;67;00:25;01:10
CDG;BON;12345;00:50;01:35
CDG;MAA;1234567;13:20;14:00
CDG;MAA;123456;12:15;12:50
CDG;MAA;7;13:10;13:45
CDG;MAA;12345;14:20;15:00
CDG;MAA;6;15:55;16:30
CDG;MAA;12345;16:05;16:40
CDG;MAA;7;17:55;18:30
CDG;MAA;6;18:00;18:35
CDG;MAA;12345;17:40;18:20
CDG;MAA;6;22:35;23:15
CDG;MAA;1235;21:15;21:50
CDG;MAA;7;22:10;22:50
CDG;MAA;13;23:10;23:40
CDG;MAA;5;00:55;01:30
CDG;MAA;6;01:40;02:10
CDG;MAA;7;02:40;03:15
CDG;MAA;1234;02:10;02:45
CDG;MAA;5;03:15;03:45
BAQ;MAA;5;16:15;18:00
BAQ;MAA;2;22:10;23:55
BON;CDG;1234567;11:55;12:40
BON;MAA;123457;11:00;11:25
BON;MAA;6;11:45;12:15
BON;MAA;6;13:40;14:05
BON;MAA;12345;14:25;14:50
BON;MAA;7;15:35;16:00
BON;MAA;6;17:00;17:30
BON;MAA;7;17:35;18:00
BON;MAA;12345;18:20;18:45
BON;MAA;6;20:10;20:35
BON;MAA;12345;20:55;21:20
BON;MAA;5;22:55;23:20
BON;MAA;12346;23:30;00:00
BON;MAA;7;00:20;00:45
BON;MAA;7;01:40;02:10
BON;MAA;12345;02:05;02:35
BRM;MAA;7;11:40;12:40
CCS;MAA;367;17:40;18:40
CCS;MAA;12;21:30;22:30
CCS;MAA;4;22:10;23:10
CCS;MAA;1234567;11:30;12:30
MAA;CDG;123456;11:00;11:35
MAA;CDG;7;12:00;12:35
MAA;CDG;12345;13:00;13:40
MAA;CDG;6;14:40;15:15
MAA;CDG;12345;15:00;15:35
MAA;CDG;7;16:35;17:15
MAA;CDG;6;16:45;17:20
MAA;CDG;12345;16:25;17:05
MAA;CDG;6;21:15;21:55
MAA;CDG;1235;20:00;20:35
MAA;CDG;7;21:00;21:40
MAA;CDG;13;22:00;22:30
MAA;CDG;6;00:40;01:10
MAA;CDG;7;01:30;02:05
MAA;CDG;5;23:50;00:25
MAA;CDG;1234;01:00;01:35
MAA;CDG;5;02:10;02:40
MAA;CDG;67;23:10;23:45
MAA;CDG;12345;23:35;00:10
MAA;BAQ;5;13:30;15:15
MAA;BAQ;2;19:25;21:10
MAA;BON;6;10:55;11:20
MAA;BON;6;12:45;13:10
MAA;BON;12345;13:30;13:55
MAA;BON;7;14:40;15:05
MAA;BON;6;16:00;16:30
MAA;BON;7;16:40;17:05
MAA;BON;12345;17:25;17:50
MAA;BON;6;19:15;19:40
MAA;BON;12345;20:00;20:25
MAA;BON;5;22:00;22:25
MAA;BON;12346;22:30;23:00
MAA;BON;7;23:30;23:55
MAA;BON;12357;01:40;02:10
MAA;BON;4;02:10;02:40
MAA;BON;123457;11:00;11:25
MAA;BRM;6;01:10;02:05
MAA;CCS;367;15:40;16:40
MAA;CCS;12;19:30;20:30
MAA;CCS;4;20:10;21:10
MAA;CCS;234567;01:00;02:00
MAA;CCS;1;02:15;03:15
MAA;KIN;4;13:30;16:00
MAA;KIN;3;14:10;16:40
MAA;KIN;1;19:35;22:10
MAA;UAI;7;13:20;13:55
MAA;UAI;6;13:30;14:05
MAA;UAI;124;15:40;16:20
MAA;SDQ;2;13:50;15:40
MAA;SDQ;5;19:20;21:10
KIN;MAA;4;16:50;19:20
KIN;MAA;3;17:40;20:10
KIN;MAA;1;22:55;01:30
UAI;MAA;7;14:25;15:00
UAI;MAA;6;14:35;15:10
UAI;MAA;124;16:50;17:30
SDQ;MAA;2;16:30;18:20
SDQ;MAA;5;22:00;23:50
